ID,Domain,Title,Risk,Methods,Evidence
CTDL-01,Database & ORM,Wajib Eloquent ORM - dilarang raw query,High,"Code review, Static analysis","Semua akses DB harus via Eloquent. DB::raw()/DB::select() dilarang kecuali aggregasi kompleks. Ref: OWASP ASVS V5, CWE-89"
CTDL-02,Mass Assignment,Mass assignment protection via $guarded,High,"Code review, Static analysis","Semua model HARUS $guarded=[""id""]. Tidak $fillable. Ref: CWE-915"
CTDL-03,XSS Prevention,Blade escaping - dilarang {!! !!} tanpa sanitasi,High,"Code review, Static analysis","Output Blade HARUS {{ }}. {!! !!} hanya untuk HTML dari Citadel renderSchema(). Ref: CWE-79"
CTDL-04,Authentication,Middleware auth pada protected routes,High,"Code review, Config review","Route admin: cek_login+internal_placement. Route API: basic_auth/jwt.verify. Ref: OWASP ASVS V4, CWE-862"
CTDL-05,Validation,Inline validation wajib di controller,Medium,"Code review","Setiap store()/update() HARUS $request->validate([...]). Project tidak pakai Form Request class"
CTDL-06,Citadel Framework,Citadel Page lifecycle pattern wajib,Medium,"Code review","Controller HARUS ikuti: ComponentsPage::make()->view()->business()->schema()->render()"
CTDL-07,Audit Trail,HasCreator trait wajib pada model bisnis,High,"Code review, Static analysis","Model entitas bisnis HARUS trait HasCreator untuk tracking created_by/updated_by. Ref: SOX Compliance"
CTDL-08,Audit Trail,ActivityLogged trait wajib pada model bisnis,Medium,"Code review, Static analysis","Model entitas bisnis HARUS trait ActivityLogged (Spatie) untuk pencatatan perubahan"
CTDL-09,Enum Convention,Enum status dengan label() dan color(),Medium,"Code review","Field status HARUS PHP 8.1 Enum dengan label():string dan color():string. Implement CitadelEnum"
CTDL-10,Database Convention,Custom table name dengan prefix escm_,Low,"Code review","Semua model HARUS $table property eksplisit dengan prefix escm_. Tidak boleh auto naming"
CTDL-11,Authorization,Permission check via checkAccessPermission(),High,"Code review, Static analysis","Setiap controller method bisnis HARUS checkAccessPermission($permission) di awal. Format: feature:action. Ref: OWASP ASVS V4"
CTDL-12,Architecture,Aksi non-CRUD sebagai method tersendiri,Medium,"Code review","Operasi bisnis (propose/release/sync/approve/esign) HARUS method tersendiri bukan generic update"
CTDL-13,Citadel Framework,Schema component harus implement Backbone,High,"Code review","Komponen dalam schema([...]) HARUS implement Backbone interface. Pelanggaran = error BACKBONE[001]"
CTDL-14,Citadel Framework,Makeable pattern untuk factory instantiation,Low,"Code review","Citadel component HARUS via ::make($name $title). Dilarang new ComponentClass() langsung"
CTDL-15,Document Numbering,HasNumbering trait untuk auto-numbering,Medium,"Code review","Model procurement (Tender/PO/PR/Contract) HARUS trait HasNumbering + interface UseNumbering"
WIKA-Q01,Architecture,Tidak ada Observer class - semua di boot method,Low,"Code review","Project TIDAK pakai Observer class. Event handling via boot()/bootTraitName() di trait"
WIKA-Q02,Validation,Tidak ada Form Request class - validasi inline,Medium,"Code review","TIDAK pakai Form Request class. Semua validasi inline $request->validate() di controller"
WIKA-Q03,Mass Assignment,$guarded bukan $fillable,Medium,"Code review","Standar: $guarded=[""id""] bukan $fillable. Semua field selain id bisa mass-assign"
WIKA-Q04,API Response,Response pattern: apiRes() helper untuk JSON,Low,"Code review","Response JSON HARUS apiRes('success'/'error' ...). Form sukses: Citadel Swal::make('success')"
WIKA-Q05,Integration,Sync mechanism mandatory untuk data eksternal,High,"Code review","Data dari SAP/HCMS/VMS/Pengadaan.com HARUS punya sync service dedicated di app/Sync/Service/"
WIKA-Q06,Integration,Sync service harus extend Base,Medium,"Code review","Sync service HARUS extend App\Sync\Service\Base. Implement: fetching() handleResponseForCache() saving()"
WIKA-Q07,Authorization,Scope-based data access multi-tenant,High,"Code review, Static analysis","Akses data procurement HARUS ESCM::scopeProject(auth()->user()). Ref: CWE-639 IDOR"
WIKA-Q08,Logging Security,Password/PIN masking di semua log,High,"Code review, Static analysis","Middleware logging HARUS masking: password password_confirm pass pin. Ref: OWASP LOG-02, CWE-532"
WIKA-Q09,Database Convention,SoftDeletes hanya untuk entitas tertentu,Low,"Code review","SoftDeletes HANYA pada User/Vendor/VendorQuotation. Mayoritas model pakai status flag"
WIKA-Q10,Database Convention,Relationship key menggunakan business key,Medium,"Code review","Beberapa relationship pakai business key (nomor dokumen) bukan surrogate key. Konsistensi SAP"
WIKA-Q11,Workflow,Approval workflow via morphMany pattern,High,"Code review","Model approval HARUS implement ApprovableContract + trait ReleaseStrategyModel. Polymorphic morphMany"
WIKA-Q12,Architecture,Procurement module interface wajib,Medium,"Code review","Entitas procurement HARUS implement ProcurementModule dengan getProcurementNumber() historyModelName()"
WIKA-Q13,Routing,Explicit route definition bukan Route::resource(),Low,"Code review","TIDAK pakai Route::resource(). Semua route eksplisit per method untuk kontrol granular"
WIKA-Q14,Authentication,Multi-layer authentication,High,"Code review, Config review","3 layer: Session(cek_login) + BasicAuth+IP(basic_auth) + JWT(jwt.verify). Ref: Defense in Depth"
WIKA-Q15,Security,CSRF protection tanpa exception,High,"Code review, Config review","CSRF aktif untuk semua POST/PUT/DELETE. VerifyCsrfToken $except HARUS kosong. Ref: CWE-352"
AUTH-01,Authentication,Hash kata sandi kuat,High,"Code review, Config review","Analisis kode; audit konfigurasi hashing (argon2/bcrypt/scrypt)"
AUTH-08,Authentication,Tidak ada kredensial hardcoded,High,"Code review, Tool scan","Gitleaks/semgrep; temuan dievaluasi bukti lokasi"
AUTH-10,Authentication,JWT aman,Medium,"Code review, Config review","Periksa expiry signing alg claim sensitif"
SESS-02,Session,Cookie flag aman,High,"Test, Config review","HttpOnly Secure SameSite"
SESS-06,Session,Proteksi CSRF,High,"Test, Code review","Anti-CSRF token; same-site; double submit"
VAL-02,Validation & Encoding,Parameterized queries,High,"Code review, Test","Gunakan parameter/ORM; tanpa string-concat SQL"
VAL-03,Validation & Encoding,Escaping output,High,"Code review, Test","HTML/JSON/template encoded sesuai konteks"
VAL-04,Validation & Encoding,CSP diterapkan,Medium,Config review,"CSP policy minimal 'self'; nonces untuk inline"
VAL-06,Validation & Encoding,Security headers lain,Medium,Config review,"XFO X-CTO Referrer-Policy"
VAL-08,Validation & Encoding,Open redirect,Medium,Test,"Validasi target; whitelist"
CRYPTO-01,Crypto & Secrets,TLS modern,High,Config review,"TLS1.2+/cipher kuat; redirect 80→443"
CRYPTO-02,Crypto & Secrets,HSTS aktif,Medium,Config review,"max-age≥6 bulan; includeSubDomains opsional"
CRYPTO-06,Crypto & Secrets,Randomness kuat,High,Code review,"CSPRNG untuk token/ID; bukan math/rand"
CRYPTO-07,Crypto & Secrets,No custom crypto,High,Code review,"Hanya lib tervalidasi"
API-02,API Security,Rate limit & throttling,High,Test,"Limiter per user/IP/token/endpoint"
API-05,API Security,CORS untuk API,Medium,Config review,"Origin/header/method allowlist"
API-06,API Security,Pagination & limits,Medium,"Code review, Test","Limit/offset maksimum; cegah mass assignment"
LOG-02,Logging & Monitoring,No sensitive logging,High,Code review,"Tidak log password/token/secret/PII"
CONF-08,Configuration,Infra as Code aman,Medium,Code review,"Hadolint best practice Dockerfile"
AVA-01,Availability,Rate limiting global,High,Test,"Burst control per IP/user/global"
AVA-02,Availability,Circuit breaker & timeouts,Medium,Code review,"Timeout dan retry jitter pada client/DB"
